,host_id,entire_home_apt_16,private_room_16,shared_room_16,entire_home_apt_17,private_room_17,shared_room_17,entire_home_apt_diff,private_room_diff,shared_room_diff,sum_2016,sum_2017
114,14055,1,0,0,1,0,0,0,0,0,1,0
115,14063,1,0,0,1,0,0,0,0,0,1,1
116,14344,0,0,0,1,1,0,1,1,0,0,1
117,14356,1,1,0,0,1,0,-1,0,0,2,2
118,14370,1,0,0,1,0,0,0,0,0,1,1
119,14444,0,0,0,2,0,0,2,0,0,0,1
120,15038,0,0,0,0,1,0,0,1,0,0,2
121,15042,1,0,0,0,0,0,-1,0,0,1,1
122,15154,1,0,0,1,0,0,0,0,0,1,0
123,15192,0,0,0,0,3,0,0,3,0,0,1
124,15261,0,1,0,0,0,0,0,-1,0,1,3
125,15523,0,2,0,0,2,0,0,0,0,2,0
126,15574,0,1,0,0,0,0,0,-1,0,1,2
127,15742,1,0,0,1,0,0,0,0,0,1,0
128,15784,1,0,0,1,0,0,0,0,0,1,1
129,15792,0,1,0,0,1,0,0,0,0,1,1
130,15991,1,0,0,1,0,0,0,0,0,1,1
131,16179,2,0,0,2,0,0,0,0,0,2,1
132,16800,0,3,0,0,2,0,0,-1,0,3,2
133,16851,1,0,0,1,0,0,0,0,0,1,2
134,16857,1,0,0,1,0,0,0,0,0,1,1
135,16866,0,0,0,1,2,0,1,2,0,0,1
136,16883,1,0,0,0,0,0,-1,0,0,1,3
137,17057,1,1,0,0,0,0,-1,-1,0,2,0
138,17296,1,0,0,0,0,0,-1,0,0,1,0
139,17297,0,2,0,0,0,0,0,-2,0,2,0
140,17571,1,1,0,1,1,0,0,0,0,2,0
141,17655,1,0,0,1,0,0,0,0,0,1,2
142,17839,1,0,0,0,0,0,-1,0,0,1,1
143,17930,1,0,0,2,0,0,1,0,0,1,0
144,17985,0,2,0,1,2,0,1,0,0,2,2
145,18041,1,0,0,0,0,0,-1,0,0,1,3
146,18174,1,0,0,1,0,0,0,0,0,1,0
147,18229,1,0,0,1,0,0,0,0,0,1,1
148,18282,0,1,0,0,1,0,0,0,0,1,1
149,18283,0,0,0,1,0,0,1,0,0,0,1
150,18374,1,0,0,0,0,0,-1,0,0,1,1
151,18583,0,0,0,1,0,0,1,0,0,0,0
152,18611,1,0,0,0,0,0,-1,0,0,1,1
153,18642,0,1,0,0,0,0,0,-1,0,1,0
154,18729,1,0,0,0,0,0,-1,0,0,1,0
155,18742,0,0,0,1,0,0,1,0,0,0,0
156,18946,0,1,0,0,1,0,0,0,0,1,1
157,18958,0,1,0,0,1,0,0,0,0,1,1
158,18972,0,0,0,1,0,0,1,0,0,0,1
159,19031,1,0,0,1,0,0,0,0,0,1,1
160,19283,1,0,0,0,0,0,-1,0,0,1,1
161,19329,0,1,0,0,0,0,0,-1,0,1,0
162,19402,0,0,0,1,0,0,1,0,0,0,0
163,19531,1,0,0,1,0,0,0,0,0,1,1
164,19562,0,0,0,1,0,0,1,0,0,0,1
165,19569,0,1,0,0,0,0,0,-1,0,1,1
166,19610,1,0,0,0,0,0,-1,0,0,1,0
167,19727,0,1,0,0,0,0,0,-1,0,1,0
168,19969,1,0,0,0,0,0,-1,0,0,1,0
169,20149,0,1,0,0,0,0,0,-1,0,1,0
170,20220,1,0,0,0,0,0,-1,0,0,1,0
171,20549,1,0,0,1,0,0,0,0,0,1,0
172,20805,0,1,0,0,1,0,0,0,0,1,1
173,20830,2,3,0,1,3,0,-1,0,0,5,1
174,21188,0,2,0,0,1,0,0,-1,0,2,4
175,21207,1,0,0,1,0,0,0,0,0,1,1
176,21248,0,0,0,1,0,0,1,0,0,0,1
177,21286,1,0,0,1,0,0,0,0,0,1,1
178,21306,1,1,0,1,0,0,0,-1,0,2,1
179,21475,0,1,0,0,1,0,0,0,0,1,1
180,21823,3,5,0,3,5,0,0,0,0,8,1
